lat,lon,primary,name
48.59937,15.73782,false,", Harmannsdorf, Burgschleinitz-Kühnring"
48.6354,15.7831,false,"""Hintaus"", Kühnring, Burgschleinitz-Kühnring"
48.630071,15.776122,false,"""Reinprechtspöllarer Straße"", Kühnring, Burgschleinitz-Kühnring"
48.60121,15.78414,false,", Matzelsdorf, Burgschleinitz-Kühnring"
48.6163,15.7586,false,"""Horner Straße"", Reinprechtspölla, Burgschleinitz-Kühnring"
48.585362,15.759044,false,"""Südwestlich der Ortschaft"", Sachsendorf, Burgschleinitz-Kühnring"
48.619252,15.821839,false,"""Etzmannsdorfer Straße"", Zogelsdorf, Burgschleinitz-Kühnring"
48.20345,15.76824,false,"bei der Kronbergmühle, Böheimkirchen und Hinterberg, Böheimkirchen"
48.22425,15.75933,false,"Grafendorfer Kellergasse, Untergrafendorf, Böheimkirchen"
48.75843,16.64739,false,"Kreuzlüssen, Drasenhofen, Drasenhofen"
48.75855,16.65484,false,"Winkel, Drasenhofen, Drasenhofen"
48.75572,16.60134,false,"""2. Hintaus"", Kleinschweinbarth, Drasenhofen"
48.75415,16.60782,false,"Kreuzberg, Kleinschweinbarth, Drasenhofen"
48.75378,16.60038,false,"Ottenthaler Kellergasse/Hintaus, Kleinschweinbarth, Drasenhofen"
48.75262,16.66666,false,"""Hinter der Firma Fuhrmann"", Steinebrunn, Drasenhofen"
48.75494,16.66488,false,"""Voitelsbrunner Straße"", Steinebrunn, Drasenhofen"
48.74991,16.66611,false,"Liss, Steinebrunn, Drasenhofen"
48.74194,16.61578,false,"""Hauptstraße"", Stützenhofen, Drasenhofen"
48.74322,16.61151,false,"""Hintaus"", Stützenhofen, Drasenhofen"
48.53891,16.87358,false,"Heide, Drösing, Drösing"
48.5366,16.902,false,"Kellergasse, Drösing, Drösing"
48.5257,16.88706,false,"Kellergasse, Waltersdorf an der March, Drösing"
48.52875,16.8857,false,"Ziegelofengasse, Waltersdorf an der March, Drösing"
48.47587,16.84968,false,"Franz Holbein Straße, Dürnkrut, Dürnkrut"
48.47611,16.8464,false,"Kirchenberg, Dürnkrut, Dürnkrut"
48.473911,16.846542,false,"Pfarrgasse, Dürnkrut, Dürnkrut"
48.467,16.821,false,"Am Alten Friedhof, Waidendorf, Dürnkrut"
48.466246,16.827037,false,"Am Kruttberg, Waidendorf, Dürnkrut"
48.4612,16.8307,false,"Bodenzeile, Waidendorf, Dürnkrut"
48.465251,16.829508,false,"Brunnhausstraße, Waidendorf, Dürnkrut"
48.465998,16.817574,false,"Kirchenplatz/Mühlgasse, Waidendorf, Dürnkrut"
48.392763,15.554227,false,"""Bei der Bahn"", Unterloiben, Dürnstein"
48.43746,16.77682,false,"Kellergasse/""Protteser Straße"", Ebenthal, Ebenthal"
48.05976,16.53875,false,"Lehmgrube, Wienerherberg, Ebergassing"
48.06631,16.55488,false,"Kellergasse, Wienerherberg, Ebergassing"
48.06351,16.5491,false,"Simandlgasse, Wienerherberg, Ebergassing"
48.65831,15.799736,false,"""Landesstraße"", Engelsdorf, Eggenburg"
48.651048,15.86499,false,"Kellergasse, Stoitzendorf, Eggenburg"
48.641693,15.8729,false,"Wartberger Straße, Stoitzendorf, Eggenburg"
48.06214,16.61841,false,"""An der B10"", Enzersdorf an der Fischa, Enzersdorf an der Fischa"
48.08241,16.62294,false,"Huberzeile, Enzersdorf an der Fischa, Enzersdorf an der Fischa"
48.08991,16.61879,false,"Loamgstetten, Enzersdorf an der Fischa, Enzersdorf an der Fischa"
48.08436,16.62295,false,"Mitterbergweg, Enzersdorf an der Fischa, Enzersdorf an der Fischa"
48.07758,16.61778,false,"Neuer Berg, Enzersdorf an der Fischa, Enzersdorf an der Fischa"
48.36834,16.42553,false,"Aukeller, Enzersfeld im Weinviertel, Enzersfeld im Weinviertel"
